Actual,Predicted
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,STREET CRIMES
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
MOTOR VEHICLE THEFT,OTHER
OTHER,OTHER
OTHER,STREET CRIMES
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,STREET CRIMES
OTHER,OTHER
MOTOR VEHICLE THEFT,OTHER
OTHER,OTHER
OTHER,STREET CRIMES
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,STREET CRIMES
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
STREET CRIMES,OTHER
OTHER,STREET CRIMES
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
BURGLARY,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,STREET CRIMES
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,STREET CRIMES
OTHER,OTHER
STREET CRIMES,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,STREET CRIMES
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,STREET CRIMES
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
STREET CRIMES,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
BURGLARY,OTHER
